(-0.06402456015348434, 0.04868089035153389) %, 6.455305576324463] 
(-0.06402456015348434, 0.04868089035153389) %, 6.455305576324463] 
(-0.06373330950737, 0.04744955152273178) %, 6.452952861785889] 
(-0.06370462477207184, 0.04661963880062103) %, 6.451430320739746] 
(-0.06405933201313019, 0.045421723276376724) %, 6.44942045211792] 
(-0.06404189020395279, 0.04477095231413841) %, 6.4483962059021] 
(-0.0635966882109642, 0.04315151646733284) %, 6.446667671203613] 
(-0.06372548639774323, 0.042378660291433334) %, 6.446070194244385] 
(-0.06447544693946838, 0.040728893131017685) %, 6.444796085357666] 
(-0.06465408205986023, 0.039864301681518555) %, 6.444076061248779] 
(-0.0646442174911499, 0.03810739889740944) %, 6.442763805389404] 
(-0.06472878903150558, 0.03697216510772705) %, 6.442039489746094] 
(-0.06628631055355072, 0.03495924547314644) %, 6.441003322601318] 
(-0.06680173426866531, 0.03400500863790512) %, 6.440568923950195] 
(-0.06735996901988983, 0.032214418053627014) %, 6.440035343170166] 
(-0.0677085742354393, 0.031125303357839584) %, 6.43980073928833] 
(-0.06947902590036392, 0.029312564060091972) %, 6.439382076263428] 
(-0.0700889602303505, 0.028448356315493584) %, 6.439002513885498] 
(-0.0708308070898056, 0.026824191212654114) %, 6.437912940979004] 
(-0.07099029421806335, 0.02586258016526699) %, 6.436797618865967] 
(-0.07235051691532135, 0.024720896035432816) %, 6.434102535247803] 
(-0.07284422963857651, 0.02403889037668705) %, 6.432372570037842] 
(-0.073114775121212, 0.023149721324443817) %, 6.429887294769287] 
(-0.0730401799082756, 0.022515438497066498) %, 6.427912712097168] 
(-0.0737450048327446, 0.0217560064047575) %, 6.424135208129883] 
(-0.07382359355688095, 0.021289903670549393) %, 6.42160701751709] 
(-0.07354268431663513, 0.020695216953754425) %, 6.418437480926514] 
(-0.07308835536241531, 0.020291496068239212) %, 6.416676044464111] 
(-0.07328111678361893, 0.019352644681930542) %, 6.4130449295043945] 
(-0.07322808355093002, 0.018775418400764465) %, 6.410625457763672] 
(-0.07281649112701416, 0.018022267147898674) %, 6.407720565795898] 
(-0.07230756431818008, 0.01752910204231739) %, 6.405820846557617] 
(-0.07261966913938522, 0.01674671098589897) %, 6.4025397300720215] 
(-0.07265406101942062, 0.016396498307585716) %, 6.40116024017334] 
(-0.07232827693223953, 0.01574820466339588) %, 6.399051666259766] 
(-0.07191476225852966, 0.015399218536913395) %, 6.397735595703125] 
(-0.07242968678474426, 0.014463710598647594) %, 6.395446300506592] 
(-0.07270859181880951, 0.01397864893078804) %, 6.394442558288574] 
(-0.07283413410186768, 0.013116833753883839) %, 6.392857074737549] 
(-0.07265444844961166, 0.012631458230316639) %, 6.392462730407715] 
(-0.0734061747789383, 0.011592403054237366) %, 6.391823768615723] 
(-0.07375169545412064, 0.011076412163674831) %, 6.391687393188477] 
(-0.07395272701978683, 0.010211127810180187) %, 6.391214847564697] 
(-0.07379104197025299, 0.009773545898497105) %, 6.391070365905762] 
(-0.07410532981157303, 0.009002353064715862) %, 6.3907647132873535] 
(-0.07432064414024353, 0.008635817095637321) %, 6.390558242797852] 
(-0.07429859042167664, 0.008048423565924168) %, 6.390779495239258] 
(-0.07401216775178909, 0.007744950708001852) %, 6.39085578918457] 
(-0.07423950731754303, 0.00684741698205471) %, 6.390694618225098] 
(-0.07443229854106903, 0.0063341716304421425) %, 6.3902716636657715] 
